市町村名,コード,振興局,xcoord,ycoord
奈井江町,1424,空知総合振興局,141.903985,43.41563431
紋別市,1219,オホーツク総合振興局,143.3366267,44.19663514
奥尻町,1367,檜山振興局,139.4667705,42.15251875
芽室町,1637,十勝総合振興局,143.0296084,42.87767792
黒松内町,1393,後志総合振興局,140.3632278,42.67707625
木古内町,1334,渡島総合振興局,140.4463532,41.72973125
足寄町,1647,十勝総合振興局,143.4639471,43.37338195
室蘭市,1205,胆振総合振興局,140.9778215,42.37030164
標茶町,1664,釧路総合振興局,144.5289644,43.29942819
小清水町,1547,オホーツク総合振興局,144.4467281,43.81417847
共和町,1401,後志総合振興局,140.6429997,42.99394097
美瑛町,1459,上川総合振興局,142.6458508,43.54268639
士別市,1220,上川総合振興局,142.6579404,44.10611193
苫前町,1483,留萌振興局,141.8155135,44.219265
剣淵町,1465,上川総合振興局,142.3427398,44.09873369
浦河町,1607,日高振興局,142.8643781,42.28111111
古平町,1406,後志総合振興局,140.6058956,43.18623041
猿払村,1511,宗谷総合振興局,142.1428208,45.22545417
壮瞥町,1575,胆振総合振興局,140.9947565,42.57616555
釧路市,1206,釧路総合振興局,144.0917108,43.23778681
興部町,1561,オホーツク総合振興局,143.1441898,44.39223056
置戸町,1550,オホーツク総合振興局,143.4856741,43.64224337
弟子屈町,1665,釧路総合振興局,144.3981212,43.54600306
清里町,1546,オホーツク総合振興局,144.6076122,43.74463444
網走市,1211,オホーツク総合振興局,144.2889088,43.94579319
陸別町,1648,十勝総合振興局,143.6749697,43.53948536
名寄市,1221,上川総合振興局,142.4377798,44.3275257
むかわ町,1586,胆振総合振興局,142.1670045,42.75696431
赤井川村,1409,後志総合振興局,140.9208618,43.04324833
利尻町,1518,宗谷総合振興局,141.1959019,45.16096
富良野市,1229,上川総合振興局,142.4820045,43.27924931
石狩市,1235,石狩振興局,141.4888423,43.43408042
中川町,1471,上川総合振興局,142.0740262,44.68300722
小平町,1482,留萌振興局,141.8641908,44.07396639
伊達市,1233,胆振総合振興局,141.0938282,42.70365375
